[2026-01-05 16:25:50] INFO: STARTING FRESH SCRAPE
[2026-01-05 16:25:50] INFO: Scraping 9638 facilities (100.0% remaining)
[2026-01-05 16:46:23] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 17:03:21] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 17:25:40] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 17:49:30] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 18:10:09] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 18:27:56] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 18:50:46] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 19:07:09] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 19:23:21] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 19:41:18] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 19:58:11] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 20:12:51] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 20:29:56] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 20:43:54] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 21:10:50] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 21:31:24] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 21:57:08] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 22:25:55] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 22:49:28] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 23:13:06] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 23:37:21] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 23:55:02] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 00:32:34] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 01:00:30] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 01:18:47] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 01:44:40] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 02:15:51] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 02:43:18] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 03:12:21] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 03:47:05] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 04:37:31] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 05:08:42] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 05:48:22] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 06:52:11] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 07:23:17] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 07:48:16] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 08:17:35] INFO: Checkpoint: Saving batch of 100 facilities
